Time (UTC),Toyama (m),Sado (m),Fukaura (m),Saigo (m),Rudnaya (m),Preobrazheniye (m),Sosunovo (m)
2024/01/01 04:19:00,-0.024,0.005,0.004,0.012,0.033,-0.007,0.008
2024/01/01 04:20:00,0.001,0.005,-0.011,0.003,0.003,-0.027,0.008
2024/01/01 04:21:00,0.003,0.005,-0.008,-0.013,0.022,-0.027,-0.012
2024/01/01 04:22:00,-0.009,0.005,0.001,-0.007,-0.008,-0.007,-0.023
2024/01/01 04:23:00,-0.001,-0.007,-0.005,0.004,-0.018,-0.007,-0.013
2024/01/01 04:24:00,0.033,-0.013,-0.005,-0.005,0.021,-0.007,0.017
2024/01/01 04:25:00,0.014,-0.004,0.016,-0.009,0.011,0.002,0.017
2024/01/01 04:26:00,-0.002,-0.003,0.022,-0.018,0.010,0.012,0.017
2024/01/01 04:27:00,-0.008,0.018,-0.002,0.000,-0.030,0.002,-0.003
2024/01/01 04:28:00,0.018,0.003,0.004,-0.004,-0.010,-0.008,-0.023
2024/01/01 04:29:00,-0.006,-0.003,0.001,-0.023,-0.021,0.012,-0.024
2024/01/01 04:30:00,-0.013,-0.006,-0.021,-0.011,-0.021,-0.008,-0.004
2024/01/01 04:31:00,-0.011,-0.006,-0.017,-0.012,-0.022,0.012,0.006
2024/01/01 04:32:00,0.004,-0.009,-0.011,-0.006,0.018,0.002,-0.004
2024/01/01 04:33:00,-0.015,0.009,0.001,-0.018,-0.033,0.002,-0.004
2024/01/01 04:34:00,-0.004,0.024,-0.008,-0.022,-0.003,0.012,-0.015
2024/01/01 04:35:00,0.020,-0.003,0.013,-0.007,-0.033,0.012,-0.005
2024/01/01 04:36:00,0.001,0.000,0.010,-0.002,0.026,0.002,0.015
2024/01/01 04:37:00,0.003,0.000,0.019,-0.008,0.036,0.001,0.004
2024/01/01 04:38:00,0.027,-0.009,0.001,-0.012,0.015,0.011,0.024
2024/01/01 04:39:00,0.029,0.003,0.001,0.009,0.005,0.021,-0.006
2024/01/01 04:40:00,0.001,0.006,-0.003,-0.003,0.024,-0.009,-0.016
2024/01/01 04:41:00,-0.024,0.012,-0.018,0.008,0.024,0.011,0.013
2024/01/01 04:42:00,0.000,0.003,0.006,-0.001,0.003,0.001,0.013
2024/01/01 04:43:00,0.008,0.000,-0.003,-0.005,0.003,0.001,0.003
2024/01/01 04:44:00,-0.014,0.000,0.012,0.007,-0.008,-0.029,-0.018
2024/01/01 04:45:00,-0.027,0.003,0.003,0.019,0.012,-0.030,0.002
2024/01/01 04:46:00,-0.003,-0.007,0.012,0.003,0.002,-0.010,0.002
2024/01/01 04:47:00,0.014,0.002,-0.006,0.006,0.001,-0.010,-0.019
2024/01/01 04:48:00,0.004,0.005,-0.009,-0.001,0.031,0.000,-0.009
2024/01/01 04:49:00,0.003,0.008,-0.006,-0.001,-0.030,-0.040,-0.009
2024/01/01 04:50:00,0.021,0.011,-0.010,-0.010,0.010,-0.030,0.000
2024/01/01 04:51:00,0.032,0.002,0.003,-0.005,-0.021,0.010,0.020
2024/01/01 04:52:00,0.001,0.005,-0.001,-0.002,-0.001,-0.001,0.010
2024/01/01 04:53:00,-0.015,-0.020,0.002,0.010,-0.002,0.009,-0.001
2024/01/01 04:54:00,-0.009,0.004,0.017,-0.009,-0.012,-0.001,-0.021
2024/01/01 04:55:00,-0.016,-0.002,0.005,-0.006,-0.023,0.009,-0.022
2024/01/01 04:56:00,-0.017,0.010,0.002,-0.003,0.017,0.019,0.008
2024/01/01 04:57:00,-0.032,0.022,0.002,-0.010,-0.004,0.028,0.028
2024/01/01 04:58:00,-0.027,0.018,0.005,-0.007,-0.014,0.018,0.007
2024/01/01 04:59:00,-0.024,0.006,-0.005,-0.004,0.016,0.018,0.007
2024/01/01 05:00:00,-0.007,-0.019,-0.014,0.001,0.025,0.028,-0.004
2024/01/01 05:01:00,-0.007,-0.019,0.007,-0.002,0.015,0.027,0.006
2024/01/01 05:02:00,0.001,-0.010,-0.008,-0.002,0.014,0.017,-0.004
2024/01/01 05:03:00,-0.005,0.004,0.001,-0.018,0.004,0.027,-0.005
2024/01/01 05:04:00,-0.012,0.019,-0.024,0.006,-0.017,0.027,-0.015
2024/01/01 05:05:00,0.000,0.031,0.004,-0.006,-0.027,-0.004,-0.025
2024/01/01 05:06:00,-0.006,0.016,-0.012,-0.003,0.033,0.006,-0.016
2024/01/01 05:07:00,-0.007,-0.009,-0.006,-0.007,0.002,0.006,0.004
2024/01/01 05:08:00,-0.016,-0.025,-0.006,-0.007,0.012,-0.004,0.013
