,id,date,value
640,15055,2022-01-15 11:39:00,1024.3
641,15056,2022-01-15 11:37:00,1008.8
642,15057,2022-01-15 11:40:00,1025.6
643,15058,2022-01-15 11:37:00,1004.6
644,15059,2022-01-15 11:40:00,1021.0
645,15062,2022-01-15 11:39:00,1010.9
646,15063,2022-01-15 11:39:00,934.2
647,15064,2022-01-15 11:38:00,986.2
648,16009,2022-01-15 11:42:00,1022.7
649,16010,2022-01-15 11:41:00,1021.8
650,16012,2022-01-15 11:42:00,1020.8
651,16014,2022-01-15 11:41:00,1009.0
652,16015,2022-01-15 11:41:00,1025.5
653,17003,2022-01-15 11:44:00,1022.2
654,17009,2022-01-15 11:42:00,1007.2
655,17011,2022-01-15 11:43:00,1025.4
656,17012,2022-01-15 11:43:00,1024.7
657,17016,2022-01-15 11:41:00,1024.7
658,17017,2022-01-15 11:42:00,1025.1
659,17023,2022-01-15 11:41:00,1017.1
660,17024,2022-01-15 11:42:00,1025.1
661,17027,2022-01-15 11:42:00,1025.0
662,17028,2022-01-15 11:46:00,1003.2
663,18001,2022-01-15 11:45:00,1022.3
664,18003,2022-01-15 11:43:00,1024.9
665,18007,2022-01-15 11:44:00,1024.6
666,18009,2022-01-15 11:41:00,1013.1
667,18014,2022-01-15 11:42:00,1022.7
668,19002,2022-01-15 11:31:00,969.3
669,19004,2022-01-15 11:32:00,963.5
670,19009,2022-01-15 11:32:00,963.9
671,19010,2022-01-15 11:32:00,892.3
672,19011,2022-01-15 11:30:00,974.9
673,19013,2022-01-15 11:30:00,977.7
674,19014,2022-01-15 11:30:00,911.0
675,19015,2022-01-15 11:31:00,994.2
676,19016,2022-01-15 11:30:00,969.4
677,19017,2022-01-15 11:30:00,981.8
678,19018,2022-01-15 11:30:00,966.1
679,19019,2022-01-15 11:32:00,992.8
680,19021,2022-01-15 11:31:00,989.7
681,19022,2022-01-15 11:31:00,962.6
682,19023,2022-01-15 11:30:00,962.9
683,19024,2022-01-15 11:30:00,970.3
684,19025,2022-01-15 11:32:00,996.4
685,19027,2022-01-15 11:31:00,983.8
686,19032,2022-01-15 11:32:00,994.8
687,19033,2022-01-15 11:29:00,904.7
688,19034,2022-01-15 11:29:00,938.2
689,19036,2022-01-15 11:30:00,921.0
690,19037,2022-01-15 11:32:00,973.9
691,19039,2022-01-15 11:30:00,923.7
692,19041,2022-01-15 11:33:00,902.4
693,19042,2022-01-15 11:33:00,961.0
694,19043,2022-01-15 11:31:00,940.8
695,19044,2022-01-15 11:31:00,960.9
696,19045,2022-01-15 11:29:00,894.0
697,19046,2022-01-15 11:34:00,856.6
698,19047,2022-01-15 11:30:00,918.0
699,19048,2022-01-15 11:30:00,903.3
700,20001,2022-01-15 11:40:00,984.4
701,20003,2022-01-15 11:34:00,916.1
702,20004,2022-01-15 11:35:00,941.3
703,20005,2022-01-15 11:36:00,925.3
704,20008,2022-01-15 11:34:00,896.8
705,20009,2022-01-15 11:34:00,930.2
706,20010,2022-01-15 11:36:00,959.7
707,20012,2022-01-15 11:33:00,965.4
708,20015,2022-01-15 11:33:00,947.2
709,20017,2022-01-15 11:34:00,920.7
710,20018,2022-01-15 11:33:00,928.0
711,20020,2022-01-15 11:35:00,968.9
712,20021,2022-01-15 11:33:00,929.0
713,20024,2022-01-15 11:37:00,947.9
714,20025,2022-01-15 11:38:00,987.0
715,20030,2022-01-15 11:35:00,934.9
716,20031,2022-01-15 11:35:00,890.4
717,20033,2022-01-15 11:35:00,925.9
718,20034,2022-01-15 11:36:00,944.1
719,20040,2022-01-15 11:35:00,935.2
720,20041,2022-01-15 11:34:00,928.9
721,20042,2022-01-15 11:35:00,938.0
722,20043,2022-01-15 11:34:00,936.8
723,20046,2022-01-15 11:37:00,870.9
724,20047,2022-01-15 11:37:00,986.8
725,20048,2022-01-15 11:38:00,947.5
726,20049,2022-01-15 11:38:00,935.8
727,20050,2022-01-15 11:38:00,951.7
728,20051,2022-01-15 11:38:00,966.5
729,20052,2022-01-15 11:36:00,911.6
730,20053,2022-01-15 11:36:00,960.9
731,20054,2022-01-15 11:36:00,934.2
732,20057,2022-01-15 11:34:00,899.7
733,20058,2022-01-15 11:34:00,918.0
734,20060,2022-01-15 11:35:00,925.1
735,20061,2022-01-15 11:37:00,849.1
736,20062,2022-01-15 11:37:00,980.0
737,20063,2022-01-15 11:37:00,981.9
738,20065,2022-01-15 11:37:00,983.3
739,20070,2022-01-15 11:38:00,920.9
740,20071,2022-01-15 11:38:00,871.6
741,20074,2022-01-15 11:37:00,940.9
742,20077,2022-01-15 11:36:00,927.7
743,20078,2022-01-15 11:37:00,952.1
744,20080,2022-01-15 11:34:00,835.3
745,20081,2022-01-15 11:34:00,924.2
746,20082,2022-01-15 11:33:00,867.8
747,20083,2022-01-15 11:33:00,899.0
748,20084,2022-01-15 11:34:00,899.4
749,20085,2022-01-15 11:33:00,897.9
750,20087,2022-01-15 11:38:00,970.0
751,20088,2022-01-15 11:38:00,978.1
752,20091,2022-01-15 11:39:00,950.7
753,20092,2022-01-15 11:39:00,932.4
754,20093,2022-01-15 11:38:00,952.6
755,20094,2022-01-15 11:38:00,945.9
756,20095,2022-01-15 11:39:00,921.3
757,20096,2022-01-15 11:35:00,862.1
758,20100,2022-01-15 11:35:00,938.1
759,20103,2022-01-15 11:35:00,956.3
760,20108,2022-01-15 11:36:00,862.8
761,21001,2022-01-15 11:39:00,1025.0
762,21006,2022-01-15 11:39:00,1018.9
763,21008,2022-01-15 11:37:00,995.8
764,21009,2022-01-15 11:37:00,971.2
765,21010,2022-01-15 11:37:00,984.7
766,21011,2022-01-15 11:37:00,948.0
767,21013,2022-01-15 11:38:00,953.9
768,21014,2022-01-15 11:36:00,1017.6
769,21015,2022-01-15 11:36:00,1008.1
770,21018,2022-01-15 11:36:00,970.0
771,21019,2022-01-15 11:36:00,987.9
772,21022,2022-01-15 11:36:00,967.3
773,21023,2022-01-15 11:36:00,951.9
774,21024,2022-01-15 11:36:00,1005.1
775,21027,2022-01-15 11:36:00,1005.3
776,21032,2022-01-15 11:39:00,1017.8
777,21033,2022-01-15 11:39:00,1017.5
778,21034,2022-01-15 11:37:00,1007.9
779,21035,2022-01-15 11:37:00,1018.7
780,21036,2022-01-15 11:38:00,1006.7
781,21038,2022-01-15 11:37:00,1018.8
782,21039,2022-01-15 11:37:00,1021.7
783,21040,2022-01-15 11:37:00,1022.6
784,21041,2022-01-15 11:38:00,985.1
785,21042,2022-01-15 11:38:00,951.5
786,21043,2022-01-15 11:38:00,996.5
787,21044,2022-01-15 11:38:00,993.3
788,21046,2022-01-15 11:40:00,986.6
789,21052,2022-01-15 11:35:00,960.8
790,21053,2022-01-15 11:35:00,981.5
791,21056,2022-01-15 11:37:00,911.9
792,21059,2022-01-15 11:38:00,938.2
793,21060,2022-01-15 11:39:00,952.7
794,21062,2022-01-15 11:39:00,958.9
795,21067,2022-01-15 11:37:00,1020.3
796,21070,2022-01-15 11:35:00,967.2
797,21071,2022-01-15 11:38:00,999.9
798,21073,2022-01-15 11:35:00,990.2
799,21074,2022-01-15 11:40:00,1020.4
800,21076,2022-01-15 11:39:00,1018.4
801,21077,2022-01-15 11:41:00,973.6
802,21079,2022-01-15 11:40:00,963.4
803,21084,2022-01-15 11:35:00,979.7
804,21086,2022-01-15 11:40:00,945.8
805,21090,2022-01-15 11:36:00,1009.3
806,21092,2022-01-15 11:37:00,1010.2
807,21095,2022-01-15 11:40:00,1017.6
808,21098,2022-01-15 11:40:00,1020.8
809,21099,2022-01-15 11:41:00,982.2
810,21102,2022-01-15 11:38:00,1014.4
811,21103,2022-01-15 11:40:00,1021.0
812,21104,2022-01-15 11:39:00,1014.1
813,21106,2022-01-15 11:39:00,998.1
814,21107,2022-01-15 11:37:00,1014.8
815,21108,2022-01-15 11:37:00,1023.5
816,22001,2022-01-15 11:26:00,1013.6
817,22003,2022-01-15 11:30:00,1012.4
818,22006,2022-01-15 11:27:00,1010.3
819,22007,2022-01-15 11:27:00,980.2
820,22008,2022-01-15 11:27:00,950.0
821,22009,2022-01-15 11:28:00,1018.3
822,22010,2022-01-15 11:26:00,999.8
823,22011,2022-01-15 11:26:00,1007.4
824,22014,2022-01-15 11:26:00,1006.3
825,22026,2022-01-15 11:29:00,976.9
826,22029,2022-01-15 11:28:00,1021.0
827,22032,2022-01-15 11:29:00,1021.7
828,22034,2022-01-15 11:29:00,1017.6
